"","year","state","fleet","catch","seas","catch_se"
"139",1957,"CA",2,130.314874349411,1,0
"140",1957,"CA",1,625.009869214408,1,0
"141",1958,"CA",2,114.214868308158,1,0
"142",1958,"CA",1,610.399403540457,1,0
"143",1959,"CA",2,87.1629845065314,1,0
"144",1959,"CA",1,550.699477757985,1,0
"145",1960,"CA",2,66.6418389655903,1,0
"146",1960,"CA",1,526.261907916076,1,0
"147",1961,"CA",2,98.3421268962557,1,0
"148",1961,"CA",1,554.805037611629,1,0
"149",1962,"CA",2,94.7752136452296,1,0
"150",1962,"CA",1,409.534685019512,1,0
"151",1963,"CA",2,113.650012738554,1,0
"152",1963,"CA",1,400.051062447739,1,0
"153",1964,"CA",2,67.752230088849,1,0
"154",1964,"CA",1,311.304031059885,1,0
"155",1965,"CA",2,66.7928020351063,1,0
"156",1965,"CA",1,301.837184793478,1,0
"157",1966,"CA",2,68.9997900610282,1,0
"158",1966,"CA",1,293.819224857897,1,0
"159",1967,"CA",2,54.8228424018939,1,0
"160",1967,"CA",1,370.943907879991,1,0
"161",1968,"CA",2,39.7296970130109,1,0
"162",1968,"CA",1,453.803300426097,1,0
"163",1969,"CA",2,65.6515995073261,1,0
"164",1969,"CA",1,479.821807142864,1,0
"165",1970,"CA",2,63.1350690136262,1,0
"166",1970,"CA",1,685.389417671759,1,0
"167",1971,"CA",2,103.253046575863,1,0
"168",1971,"CA",1,869.879044150232,1,0
"169",1972,"CA",2,183.428673914529,1,0
"170",1972,"CA",1,1356.0125891842,1,0
"171",1973,"CA",2,109.250898543814,1,0
"172",1973,"CA",1,1612.12671955735,1,0
"173",1974,"CA",2,100.98145596439,1,0
"174",1974,"CA",1,1732.66617152523,1,0
"175",1975,"CA",2,81.5899283623419,1,0
"176",1975,"CA",1,1487.49405000203,1,0
"177",1976,"CA",2,124.360514130627,1,0
"178",1976,"CA",1,1402.87775331705,1,0
"179",1977,"CA",2,68.4811087394278,1,0
"180",1977,"CA",1,806.812921177529,1,0
"181",1978,"CA",2,144.269590631975,1,0
"182",1978,"CA",1,817.029182228287,1,0
"183",1979,"CA",2,104.380677218858,1,0
"184",1979,"CA",1,1424.4265662522,1,0
"185",1980,"CA",2,98.6114358076525,1,0
"186",1980,"CA",1,1315.7462869155,1,0
"187",1981,"CA",2,92.0729181759008,1,0
"188",1981,"CA",1,1209.20642468052,1,0
"189",1982,"CA",2,74.1204264700867,1,0
"190",1982,"CA",1,1336.43402493076,1,0
"191",1983,"CA",2,50.4973430781546,1,0
"192",1983,"CA",1,967.147904705795,1,0
"193",1984,"CA",2,42.0948234668843,1,0
"194",1984,"CA",1,909.635075095075,1,0
"195",1985,"CA",2,83.4632153506617,1,0
"196",1985,"CA",1,612.844663001779,1,0
"197",1986,"CA",2,148.524331842336,1,0
"198",1986,"CA",1,389.197437881682,1,0
"199",1987,"CA",2,166.933604264661,1,0
"200",1987,"CA",1,693.943412501138,1,0
"201",1988,"CA",2,213.197476173949,1,0
"202",1988,"CA",1,806.695573957234,1,0
"203",1989,"CA",2,418.114053597073,1,0
"204",1989,"CA",1,859.204747794886,1,0
"205",1990,"CA",2,306.431376495629,1,0
"206",1990,"CA",1,761.528960453105,1,0
"207",1991,"CA",2,191.932453772973,1,0
"208",1991,"CA",1,595.9622571141,1,0
"209",1992,"CA",2,198.782458650451,1,0
"210",1992,"CA",1,419.303568970911,1,0
"211",1993,"CA",2,166.236604376308,1,0
"212",1993,"CA",1,534.70313127786,1,0
"213",1994,"CA",2,142.35291044959,1,0
"214",1994,"CA",1,428.053350527629,1,0
"215",1995,"CA",2,178.946885018353,1,0
"216",1995,"CA",1,361.92103807771,1,0
"217",1996,"CA",2,170.325116776675,1,0
"218",1996,"CA",1,311.512468469547,1,0
"219",1997,"CA",2,158.425836195947,1,0
"220",1997,"CA",1,351.759919087649,1,0
"221",1998,"CA",2,65.1952396279051,1,0
"222",1998,"CA",1,85.4379331370555,1,0
"223",1999,"CA",2,52.8367027278347,1,0
"224",1999,"CA",1,95.1164603400468,1,0
"225",2000,"CA",2,22.6932081464355,1,0
"226",2000,"CA",1,32.8964192520169,1,0
"227",2001,"CA",2,33.9912642282515,1,0
"228",2001,"CA",1,28.5865679814172,1,0
"229",2002,"CA",2,44.0510312826238,1,0
"230",2002,"CA",1,37.2547207195035,1,0
"231",2003,"CA",2,39.0551336173807,1,0
"232",2003,"CA",1,13.5283924465948,1,0
"233",2004,"CA",2,45.6564638713541,1,0
"234",2004,"CA",1,17.753605376688,1,0
"235",2005,"CA",2,40.7655256662476,1,0
"236",2005,"CA",1,22.8551587663561,1,0
"237",2006,"CA",2,36.0905305416852,1,0
"238",2006,"CA",1,28.2564459943716,1,0
"239",2007,"CA",2,36.6033167164002,1,0
"240",2007,"CA",1,43.3898647923698,1,0
"241",2008,"CA",2,36.7640517087682,1,0
"242",2008,"CA",1,34.3369424377946,1,0
"243",2009,"CA",2,25.0082165989933,1,0
"244",2009,"CA",1,31.7117312349812,1,0
"245",2010,"CA",2,23.6570919334938,1,0
"246",2010,"CA",1,23.0532425545012,1,0
"247",2011,"CA",2,26.2098190755205,1,0
"248",2011,"CA",1,6.67011753694154,1,0
"249",2012,"CA",2,31.4946328546697,1,0
"250",2012,"CA",1,16.3372178409382,1,0
"251",2013,"CA",2,41.1507344508694,1,0
"252",2013,"CA",1,23.7222913008123,1,0
"253",2014,"CA",2,70.1523937008321,1,0
"254",2014,"CA",1,36.99903070032,1,0
"255",2015,"CA",2,107.485627630909,1,0
"256",2015,"CA",1,42.1644045365007,1,0
"257",2016,"CA",2,77.2655684717596,1,0
"258",2016,"CA",1,40.2382018560619,1,0
"259",2017,"CA",2,85.2373049011899,1,0
"260",2017,"CA",1,116.960865619713,1,0
"261",2018,"CA",2,74.8207781701886,1,0
"262",2018,"CA",1,189.872341961183,1,0
"263",2019,"CA",2,59.01989021595,1,0
"264",2019,"CA",1,212.827885255028,1,0
"265",2020,"CA",2,49.9164886550969,1,0
"266",2020,"CA",1,199.844107559778,1,0
"267",2021,"CA",2,7.08464562520002,1,0
"268",2021,"CA",1,3.88707342574576,1,0
