"Year","Total Biomass (mt)","Spawning Biomass (mt)","Total Biomass 3+ (mt)","Fraction Unfished","Age-0 Recruits","Total Mortality (mt)","(1-SPR)/(1-SPR_45%)","Exploitation Rate"
1964,29302.1,13003.2,26174.2,0.757771069592886,20798.7,1433.688,0.377233,0.0547748546278396
1965,28936,12657.4,25212.8,0.737619319572489,18243.7,1602.9125,0.416408,0.063575346649321
1966,29119.2,12123.5,24431.1,0.706505903332207,15235.4,1720.9172,0.449267,0.0704396118062633
1967,29548.6,11933.6,25466,0.695439340784858,15517,2516.7404,0.594509,0.0988274719233488
1968,29207.5,11963.7,25625.3,0.697193440482989,14546.8,2852.225,0.657112,0.111305038380038
1969,28440.6,11759.5,24860.9,0.685293534889684,15474.3,1793.8708,0.491267,0.0721563097072109
1970,28576.8,11911.9,24971.5,0.694174757281553,34654,1344.0311,0.387075,0.0538226017660133
1971,30027.8,12165.1,25060.1,0.708930174011352,47442.7,1647.6365,0.44163,0.0657474032426048
1972,33724.7,12124.5,24967.5,0.706564179069686,19052.6,1859.1881,0.476834,0.0744643276259137
1973,39033.1,12784.5,29707.8,0.745026165806128,26795.1,2269.7537,0.529636,0.0764026181676193
1974,43211.8,15569.3,38254.7,0.907312439538922,24893.4,2427.1799,0.511554,0.0634478874491239
1975,45844.1,18854.5,39759,1.09875989230644,14718.7,2346.1891,0.449733,0.0590102643426645
1976,46760.6,19849.5,41589.8,1.1567442510985,14522.8,2370.7899,0.416356,0.0570041187983592
1977,45629.2,20434.5,42173.5,1.19083555752398,17088.2,2145.2323,0.368202,0.0508668310669022
1978,43384.2,20338.4,39773.3,1.1852352591522,22639.8,1944.9508,0.337456,0.0489009159410962
1979,41185.6,19134.9,36807.7,1.11510040909568,24041.8,2971.1575,0.480155,0.0807210855337334
1980,38908.4,17099.4,33582.9,0.996480145456241,13722.8,2846.9544,0.497251,0.0847739295891659
1981,37430.5,15767.2,32490.3,0.918845207986107,10530,2736.2685,0.513545,0.0842180127607317
1982,35682.5,15416.8,32652.6,0.898425389573305,13590.2,3223.8944,0.597353,0.0987331606058936
1983,32849,14913.1,30218.5,0.869071900604902,8380.5,3775.9336,0.685789,0.12495436901236
1984,29188,13225.9,26350.5,0.770749076329561,7346.66,3626.865,0.710241,0.137639323731997
1985,25463,11370,23485.2,0.662595135141435,18943.3,3770.0276,0.780992,0.160527804745116
1986,22071.1,9629.63,19655.1,0.561173789904311,10316,2559.1352,0.689506,0.130202095130526
1987,20742.2,8363.15,16887.1,0.487368733901328,7321.78,2354.8225,0.706439,0.139445049771719
1988,19803.9,7601.59,17573.8,0.442988263266472,8480.94,2313.7159,0.73482,0.131657120258567
1989,18659,7760.93,16860.4,0.452273919276448,9558.1,3033.5419,0.879465,0.17992111100567
1990,16803.9,7001.38,14721.3,0.408010582873926,13279.1,2511.4535,0.839881,0.170599980979941
1991,15769.7,6205.4,13296.9,0.361624261355027,12073,2838.484,0.929808,0.213469605697569
1992,15075.3,5355.41,12061.5,0.312090467254863,9643.83,1749.4578,0.774256,0.145044795423455
1993,15654.4,5487.12,12980,0.319765964638282,10284.5,2082.7279,0.851248,0.160456694915254
1994,15844.7,5824,13525.7,0.339397895080362,13304.6,1817.1396,0.780829,0.134347176116578
1995,16266.6,6177.97,13647.4,0.360025757875966,15582.5,1311.7528,0.621903,0.0961174143060217
1996,17388.5,6510.82,14163.1,0.379422837096003,10089.7,1456.0883,0.635331,0.102808587103106
1997,18493.4,6810.39,15200.9,0.396880499772725,10290.8,1457.3268,0.609657,0.0958710865803999
1998,19239.1,7433.12,16861.4,0.433170549773307,10500.1,1864.7582,0.662866,0.110593319653172
1999,19162.7,7947.19,16690.9,0.463128358139372,19265.7,1888.9406,0.661287,0.113171884080547
2000,19208.5,7867.44,16193.1,0.458480868075386,19456.5,699.5226,0.297202,0.0431988068992349
2001,21160.8,8210.37,16663.7,0.478465366729216,16708.8,637.2348,0.26161,0.0382408948792885
2002,23676.1,8854.56,19332.5,0.516006014056108,12309.2,1070.5479,0.380569,0.055375554118712
2003,25519.7,10066.8,21916.1,0.586650194058206,9960.01,979.0451,0.326793,0.0446724143437929
2004,26547,11351,23798.9,0.661487896129326,12901.5,915.729,0.281248,0.038477786788465
2005,26657.8,12128.1,24181.2,0.706773971724612,6300.92,1014.307,0.293546,0.04194609862207
2006,25943.8,12105,23304.3,0.705427802188837,13477.5,1253.655,0.357636,0.0537950077882623
2007,24534.2,11575.2,22615.6,0.67455331647222,10333.6,743.0069,0.234396,0.0328537337059375
2008,23846.9,11218.3,20758.5,0.653754705765801,29896.2,721.3411,0.240712,0.0347491918972951
2009,24181.5,10570.4,20589.7,0.615997855452861,15328.7,620.8768,0.219188,0.0301547278493616
2010,26119.2,10471.1,20065.8,0.610211074721151,15404.8,378.7117,0.137076,0.0188734912139062
2011,28471.1,11146.8,24906.6,0.64958799053602,10610.8,657.1916,0.214375,0.0263862430038624
2012,29834.3,12969,26533.9,0.755778039371088,10831.9,811.6512,0.231663,0.030589216059456
2013,30005.1,13731.5,27426.5,0.800213289199175,21762.5,881.2766,0.232147,0.0321323026999435
2014,29683.3,13842.7,26531.3,0.806693551206891,7629.01,728.8561,0.192774,0.0274715562373498
2015,29547.5,13408,25349.5,0.78136108812457,10033.7,808.287,0.21719,0.0318857176670151
2016,28788.1,13143,26820.7,0.765918017692514,13158.6,806.4867,0.222145,0.0300695619428277
2017,27684.1,13376.7,25151.4,0.779537057541463,9853.83,1172.0198,0.313971,0.0465985909333079
2018,26290.2,12432.6,23359,0.724518933787107,18745.2,1035.7083,0.297257,0.0443387259728584
2019,25392.1,11657.5,22580,0.679349409666779,7822.73,1004.749,0.306203,0.0444972984942427
2020,25042.7,11182.9,21301.9,0.651691744659029,16198.4,803.8564,0.26195,0.0377363709340481
2021,24988.8,11010.2,22609.4,0.641627524796326,16174.8,1576.72,0.461717,0.0697373658743708
2022,24692.9,10880.1,20898.2,0.634045851350249,16156.8,1576.72,0.470784,0.0754476462087644
2023,24944.5,10343.9,21155.5,0.602798400913764,16078.2,4589.103,0.970087,0.216922455153506
2024,22997.2,8950.16,19224.5,0.521577174559144,15834.7,4033.167,0.967689,0.209793076542953
2025,22123.3,8330.51,18379.8,0.485466613829998,15703.4,3808.248,0.96576,0.207197466784187
2026,21707.6,8046.54,18013.3,0.468918052657956,15637.3,3717.916,0.963821,0.206398383416698
2027,21463.5,7901.69,17795.4,0.460476812084057,15602,3668.31,0.961385,0.206138103105297
2028,21290.1,7804.22,17635.3,0.454796675951934,15577.6,3631.925,0.959425,0.205946312226047
2029,21157.9,7730.2,17510.5,0.450483105863705,15558.7,3597.76,0.957455,0.20546300790954
2030,21062.7,7677.14,17420.7,0.447390995233045,15544.9,3563.982,0.95498,0.204583168299781
2031,21003.2,7644.73,17365.1,0.445502278581335,15536.5,3539.587,0.952989,0.203833378442969
2032,20968.6,7626.86,17333.3,0.444460891152578,15531.8,3519.746,0.950987,0.203062659735884
