"year","month","fleet","sex","partition","Nsamp","U-10","U-12","U-14","U-16","U-18","U-20","U-22","U-24","U-26","U-28","U-30","U-32","U-34","U-36","U-38","U-40","U-42","U-44","U-46","U-48","U-50","U-52","U-54","U-56","U-58","U-60","U-62","U-64","U-66","U-68","U-70","U-72","U-74","U-76","U-78","U-80","U-82","U-84","U-86","U-88","U-90","U-92","U-94","U-96","U-98","U-100","U-102","U-104","U-106","U-108","U-110","U-112","U-114","U-116","U-118","U-120","U-122","U-124","U-126","U-128","U-130"
1998,1,"Fleet",0,0,383,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,2,1,0,1,3,2,6,12,40,44,56,45,50,27,19,17,12,4,10,7,7,5,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,1,"Fleet",0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,4,9,21,30,81,74,57,63,57,37,29,33,17,17,20,10,12,5,7,7,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2000,1,"Fleet",0,0,194,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,1,1,0,1,0,2,2,4,5,13,18,27,19,14,16,6,13,5,10,5,5,2,3,5,3,3,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2001,1,"Fleet",0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,2,2,3,6,17,10,17,14,12,7,4,5,5,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,1,"Fleet",0,0,821,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,5,4,6,9,5,8,4,13,52,124,141,112,72,51,39,30,30,21,16,21,21,10,7,1,2,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1,"Fleet",0,0,1723,0,0,0,1,0,1,1,4,4,1,10,4,8,3,6,3,12,22,39,48,52,88,77,88,138,234,189,154,144,102,81,39,43,24,24,20,10,10,16,5,8,4,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2004,1,"Fleet",0,0,1163,0,2,0,0,0,2,2,0,1,3,8,4,10,6,10,4,11,12,8,18,35,32,36,43,62,76,85,62,49,53,42,50,69,89,91,53,32,30,24,20,7,10,5,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2005,1,"Fleet",0,0,3032,0,0,0,0,0,1,1,0,5,0,3,3,6,2,6,5,6,11,9,24,24,23,30,47,144,394,424,392,332,263,223,173,124,109,75,47,33,22,16,19,16,6,1,4,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,1,"Fleet",0,0,2977,0,0,0,0,0,0,1,3,1,0,0,5,2,4,3,0,2,3,3,9,8,20,22,34,122,381,386,313,299,260,229,198,139,102,99,94,55,53,33,28,17,16,13,6,9,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2007,1,"Fleet",0,0,1576,1,0,0,0,0,0,0,0,2,0,1,0,1,0,3,3,6,3,2,10,14,8,18,32,86,233,195,192,160,130,103,87,74,52,40,36,21,22,14,15,1,2,2,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2008,1,"Fleet",0,0,1129,1,0,0,0,0,0,1,1,1,0,2,0,2,2,0,0,0,2,1,1,5,10,11,31,67,198,167,130,118,77,86,47,42,32,37,21,13,9,5,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,1,"Fleet",0,0,952,0,0,0,0,0,0,1,1,2,1,1,3,6,6,7,4,1,3,2,8,11,7,16,21,57,114,121,106,97,80,55,46,38,38,27,17,15,10,9,6,6,4,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,1,"Fleet",0,0,627,0,0,0,0,0,0,0,0,0,1,4,5,2,5,5,10,6,2,5,8,5,8,13,10,41,90,73,58,57,40,36,29,24,22,16,16,8,10,5,7,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,"Fleet",0,0,2196,0,0,0,1,0,4,3,6,7,16,35,19,14,22,15,27,28,37,40,40,43,68,147,232,258,232,218,162,110,92,81,57,43,35,30,20,17,13,10,7,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,1,"Fleet",0,0,2781,0,0,2,2,5,2,3,5,6,6,15,20,23,16,26,35,46,54,47,57,69,106,158,283,296,296,255,224,214,129,103,70,47,39,46,20,15,10,10,9,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,"Fleet",0,0,1983,0,0,0,0,0,1,4,3,5,4,6,14,11,15,22,22,37,38,58,53,66,91,144,190,164,178,157,139,113,101,77,66,55,48,31,15,12,12,7,9,3,3,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,"Fleet",0,0,653,0,0,0,0,0,0,0,1,1,0,0,4,2,4,1,7,3,6,6,7,21,25,47,72,79,66,58,48,53,43,20,28,10,13,7,8,2,4,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,"Fleet",0,0,603,0,0,0,0,0,0,1,1,0,1,0,0,3,4,4,3,2,2,3,9,10,20,33,64,65,70,65,51,33,26,36,28,21,9,10,12,5,3,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,"Fleet",0,0,284,0,0,1,0,0,0,0,0,0,0,1,0,2,1,1,2,1,2,3,3,5,12,16,33,34,28,30,20,21,11,14,10,9,4,3,5,6,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,"Fleet",0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,1,5,18,26,20,31,12,17,17,11,6,7,3,4,3,2,2,1,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,"Fleet",0,0,167,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,3,3,1,5,2,5,8,19,14,20,11,11,10,7,3,9,11,4,5,5,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1,"Fleet",0,0,161,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,1,4,3,3,6,2,5,10,18,14,27,7,8,10,10,9,3,6,2,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,"Fleet",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
