"year","month","fleet","sex","partition","Nsamp","U-10","U-12","U-14","U-16","U-18","U-20","U-22","U-24","U-26","U-28","U-30","U-32","U-34","U-36","U-38","U-40","U-42","U-44","U-46","U-48","U-50","U-52","U-54","U-56","U-58","U-60","U-62","U-64","U-66","U-68","U-70","U-72","U-74","U-76","U-78","U-80","U-82","U-84","U-86","U-88","U-90","U-92","U-94","U-96","U-98","U-100","U-102","U-104","U-106","U-108","U-110","U-112","U-114","U-116","U-118","U-120","U-122","U-124","U-126","U-128","U-130"
2011,1,"Fleet",0,0,6592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,23,297,863,750,752,620,535,417,420,319,270,243,190,143,120,92,93,91,78,67,42,44,34,19,28,13,8,7,4,1,2,0,0,0,0,0,0,0,0,0
2012,1,"Fleet",0,0,8114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,14,290,1059,1067,984,870,697,586,483,366,279,256,180,148,133,105,88,93,92,62,38,43,37,36,39,13,18,6,8,6,4,3,2,0,1,0,0,0,0,0
2013,1,"Fleet",0,0,8130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,176,611,834,1002,1009,898,714,566,477,414,308,257,161,134,115,65,65,66,60,44,35,28,24,17,13,9,7,1,5,1,3,0,0,1,0,0,0,0,0
2014,1,"Fleet",0,0,6446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,104,464,616,656,699,711,604,477,367,326,296,261,170,153,104,80,78,45,35,39,34,27,27,14,18,13,11,3,4,4,0,1,0,1,0,0,0,0,0
2015,1,"Fleet",0,0,7060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,5,108,424,564,720,776,776,695,647,495,370,290,223,178,161,140,90,85,82,45,47,21,26,25,18,8,8,6,4,3,5,2,1,3,1,1,1,0,0,0
2016,1,"Fleet",0,0,5428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,159,560,533,599,549,582,494,398,328,245,184,148,132,101,91,75,59,69,31,26,14,14,11,3,4,2,3,4,1,0,2,0,0,0,0,0,0,0,0
2017,1,"Fleet",0,0,5630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,147,646,704,653,534,553,515,382,322,248,181,145,102,97,74,65,76,41,37,27,19,13,14,10,2,6,2,3,2,0,1,0,0,0,0,0,0,0,0
2018,1,"Fleet",0,0,7528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,105,520,724,774,795,731,702,633,538,405,306,249,183,131,138,111,116,88,76,58,47,25,21,17,12,8,5,0,2,2,0,0,0,1,0,0,0,0,0
2019,1,"Fleet",0,0,6642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,192,656,647,675,646,627,500,448,381,341,337,256,201,111,122,94,91,80,57,45,35,26,23,15,6,6,5,2,2,2,1,1,0,1,0,0,0,0,0
2020,1,"Fleet",0,0,1447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,183,180,194,146,109,110,78,82,50,56,38,46,28,32,10,10,10,10,6,12,2,2,6,4,0,6,2,0,0,2,0,0,0,0,0,0,0,0
