"year","month","fleet","sex","partition","Nsamp","F-10","F-12","F-14","F-16","F-18","F-20","F-22","F-24","F-26","F-28","F-30","F-32","F-34","F-36","F-38","F-40","F-42","F-44","F-46","F-48","F-50","F-52","F-54","F-56","F-58","F-60","F-62","F-64","F-66","F-68","F-70","F-72","F-74","F-76","F-78","F-80","F-82","F-84","F-86","F-88","F-90","F-92","F-94","F-96","F-98","F-100","F-102","F-104","F-106","F-108","F-110","F-112","F-114","F-116","F-118","F-120","F-122","F-124","F-126","F-128","F-130","M-10","M-12","M-14","M-16","M-18","M-20","M-22","M-24","M-26","M-28","M-30","M-32","M-34","M-36","M-38","M-40","M-42","M-44","M-46","M-48","M-50","M-52","M-54","M-56","M-58","M-60","M-62","M-64","M-66","M-68","M-70","M-72","M-74","M-76","M-78","M-80","M-82","M-84","M-86","M-88","M-90","M-92","M-94","M-96","M-98","M-100","M-102","M-104","M-106","M-108","M-110","M-112","M-114","M-116","M-118","M-120","M-122","M-124","M-126","M-128","M-130"
1990,1,"Fleet",3,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,0,3,7,4,0,2,5,3,4,7,5,0,3,2,1,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,5,5,12,12,10,25,29,23,19,13,4,6,6,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,1,"Fleet",3,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,0,6,6,3,4,4,4,2,4,3,3,7,8,10,4,3,6,5,2,2,4,3,3,1,2,8,4,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,4,12,15,14,6,15,10,6,6,7,17,17,10,8,2,7,10,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,1,"Fleet",3,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,8,12,8,5,3,4,6,12,8,12,14,14,7,8,6,4,6,7,4,2,2,6,4,3,5,1,0,3,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,16,8,31,20,16,29,24,28,26,16,12,17,17,13,11,11,7,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,"Fleet",3,0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,8,10,9,9,11,14,19,17,10,10,8,7,8,6,7,11,2,7,3,3,1,3,6,0,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,23,29,28,39,41,33,18,20,28,4,15,13,8,6,6,8,3,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,1,"Fleet",3,0,892,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,8,10,7,13,26,22,21,25,17,31,19,25,24,16,12,17,8,2,9,7,4,5,3,3,0,1,4,3,4,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,10,7,20,39,47,87,57,47,46,31,26,26,19,18,13,8,7,9,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,1,"Fleet",3,0,1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,14,10,6,8,15,15,23,19,27,31,41,29,26,22,25,20,9,13,11,13,6,1,4,2,2,3,2,2,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,20,23,27,9,12,33,74,96,133,111,73,62,56,33,39,19,21,15,11,8,7,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1,"Fleet",3,0,1327,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8,20,18,18,8,6,22,29,45,36,33,28,34,36,35,36,31,20,25,13,4,5,3,5,7,2,3,1,1,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,29,48,27,28,30,52,71,71,80,82,70,59,34,27,21,13,7,3,5,6,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,1,"Fleet",3,0,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,23,30,17,10,2,7,25,21,28,20,24,15,20,21,25,18,12,17,14,8,10,1,4,1,3,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,24,41,39,22,14,23,44,56,64,47,49,32,26,19,12,13,9,2,4,4,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,1,"Fleet",3,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,14,19,20,24,21,20,20,10,21,12,13,16,7,13,3,3,8,3,3,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,5,17,28,52,49,37,31,29,12,12,5,4,4,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,1,"Fleet",3,0,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,9,0,4,3,5,3,14,26,22,38,20,22,16,17,19,10,7,5,7,6,6,4,3,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,14,5,4,9,9,10,13,15,30,51,46,34,15,14,9,8,7,3,2,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,1,"Fleet",3,0,642,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,6,3,2,1,4,5,5,2,16,26,25,30,30,35,26,23,25,23,13,9,10,5,3,7,11,6,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,2,1,4,8,7,6,11,11,15,39,34,36,26,20,7,11,8,7,4,3,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,1,"Fleet",3,0,1531,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,0,1,3,0,4,3,23,41,40,64,64,52,81,66,82,57,62,55,38,22,26,11,17,10,8,11,3,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,4,6,10,8,9,18,27,102,104,88,75,62,53,34,25,11,14,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,1,"Fleet",3,0,2264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,2,2,2,3,14,26,83,84,101,126,118,104,94,70,65,80,49,73,60,29,28,20,20,11,3,2,6,1,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,3,6,7,12,16,9,20,72,109,128,140,122,99,62,50,36,26,24,16,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1,"Fleet",3,0,2803,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,4,5,5,28,75,86,125,146,145,114,108,94,105,90,89,68,47,42,44,24,18,16,11,7,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,2,10,6,4,25,72,191,211,184,131,120,116,80,49,36,27,8,4,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,1,"Fleet",3,0,2435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,54,86,105,108,103,86,88,93,73,59,65,40,53,20,30,21,29,14,19,7,6,10,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,46,181,233,207,149,160,82,70,27,22,18,13,2,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,1,"Fleet",3,0,2953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,36,56,74,62,101,123,88,103,99,99,88,91,64,47,45,35,40,27,17,18,12,8,6,2,6,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,55,208,255,192,173,242,141,102,70,43,25,20,10,11,3,4,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,1,"Fleet",3,0,2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,28,35,32,42,38,64,63,94,52,56,66,77,54,38,41,21,7,25,5,11,6,9,6,0,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,6,6,29,133,163,193,141,160,91,107,72,34,16,19,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,1,"Fleet",3,0,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,19,21,21,42,56,44,77,53,63,66,77,43,49,35,37,24,34,26,20,9,4,3,8,6,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,43,77,162,175,199,176,138,119,76,56,40,16,13,8,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,1,"Fleet",3,0,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,18,22,26,33,34,33,48,44,32,46,42,19,26,12,15,13,12,10,13,4,3,6,6,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,2,9,11,28,34,83,114,96,74,67,86,49,28,28,11,8,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,1,"Fleet",3,0,1695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,32,28,28,21,37,39,37,59,48,43,56,40,28,37,31,37,26,15,14,14,14,21,7,7,6,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,11,51,47,54,94,107,130,113,100,81,46,35,24,13,8,12,7,1,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,1,"Fleet",3,0,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,10,20,16,58,46,34,42,18,36,20,30,32,22,22,10,12,12,4,6,6,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,48,54,58,78,82,52,50,36,34,12,14,10,14,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,"Fleet",3,0,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,36,24,26,30,14,24,22,20,22,26,42,42,10,22,6,4,4,8,2,2,4,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,32,66,46,66,42,38,26,18,18,16,2,4,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,1,"Fleet",3,0,830,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,14,26,36,52,26,32,28,20,18,26,22,22,16,16,6,14,12,12,4,2,4,4,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,32,46,50,60,58,40,42,24,18,10,8,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,"Fleet",3,0,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,10,10,20,26,30,26,20,18,18,14,14,8,8,8,4,2,2,8,4,0,0,2,2,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,34,58,58,66,60,46,48,16,12,6,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,"Fleet",3,0,1394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,10,12,30,28,24,32,20,50,52,68,52,66,44,28,30,8,18,12,0,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,18,66,78,106,104,110,102,78,38,26,8,22,10,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,"Fleet",3,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,16,10,24,28,10,18,22,16,14,24,28,38,40,36,32,10,18,8,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,10,56,56,82,60,82,64,58,52,26,20,10,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,"Fleet",3,0,2122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,15,36,61,51,44,42,74,51,52,69,39,34,50,94,104,100,83,63,56,24,24,14,7,8,7,14,5,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,7,18,67,128,108,83,99,77,48,74,55,39,44,18,11,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,"Fleet",3,0,3108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,20,8,22,8,40,69,131,112,90,65,77,83,57,68,56,42,62,106,80,84,44,24,28,20,2,8,4,4,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,8,26,50,124,186,233,207,197,152,90,142,78,54,50,36,18,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,"Fleet",3,0,1858,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,3,3,4,9,6,10,10,21,16,26,24,32,29,59,88,83,80,52,40,34,25,16,24,20,24,24,6,14,6,2,2,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,4,4,4,8,29,25,28,44,37,71,120,121,105,130,94,48,49,43,31,26,8,10,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1,"Fleet",3,0,3442,0,0,0,0,0,0,0,0,0,0,0,2,0,4,6,0,2,1,6,17,20,31,48,51,68,64,56,35,35,28,96,129,125,134,120,99,49,56,55,76,64,74,48,50,48,46,14,12,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,2,8,16,66,114,133,151,147,173,85,115,106,110,113,81,54,59,27,34,23,13,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,"Fleet",3,0,2612,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,24,34,52,16,26,34,50,74,68,72,74,78,58,36,46,54,68,94,64,76,46,50,48,48,28,32,24,6,10,0,4,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,54,80,88,58,42,124,136,121,124,102,82,48,26,30,30,18,12,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,1,"Fleet",3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
