"year","month","Fleet","sex","partition","ageErr","LbinLo","LbinHi","nSamps","F0","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F0.1","F1.1","F2.1","F3.1","F4.1","F5.1","F6.1","F7.1","F8.1","F9.1","F10.1","F11.1","F12.1","F13.1","F14.1","F15.1"
1998,"Month","Fleet",1,0,"Enter",31,31,12,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",33,33,14,0,92.8571428571429,7.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.8571428571429,7.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",35,35,15,0,93.3333333333333,6.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.3333333333333,6.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",37,37,3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",39,39,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",41,41,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",45,45,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",47,47,7,0,14.2857142857143,85.7142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2857142857143,85.7142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",49,49,6,0,16.6666666666667,83.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6666666666667,83.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",51,51,6,0,16.6666666666667,83.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6666666666667,83.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",53,53,4,0,0,25,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,75,0,0,0,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",55,55,6,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",57,57,6,0,0,66.6666666666667,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6666666666667,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",59,59,9,0,0,33.3333333333333,33.3333333333333,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,33.3333333333333,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",61,61,8,0,0,0,75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,25,0,0,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",63,63,10,0,10,10,40,30,10,0,0,0,0,0,0,0,0,0,0,0,10,10,40,30,10,0,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",65,65,10,0,0,10,60,20,10,0,0,0,0,0,0,0,0,0,0,0,0,10,60,20,10,0,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",67,67,9,0,0,0,44.4444444444444,44.4444444444444,11.1111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,44.4444444444444,44.4444444444444,11.1111111111111,0,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",69,69,6,0,0,0,50,33.3333333333333,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,50,33.3333333333333,16.6666666666667,0,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",71,71,8,0,0,12.5,25,50,12.5,0,0,0,0,0,0,0,0,0,0,0,0,12.5,25,50,12.5,0,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",73,73,8,0,0,0,12.5,37.5,37.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,12.5,37.5,37.5,12.5,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",75,75,7,0,0,0,0,28.5714285714286,14.2857142857143,42.8571428571429,14.2857142857143,0,0,0,0,0,0,0,0,0,0,0,0,28.5714285714286,14.2857142857143,42.8571428571429,14.2857142857143,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",77,77,6,0,0,0,0,16.6666666666667,33.3333333333333,33.3333333333333,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,16.6666666666667,33.3333333333333,33.3333333333333,16.6666666666667,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",79,79,6,0,0,0,0,50,0,33.3333333333333,0,0,16.6666666666667,0,0,0,0,0,0,0,0,0,0,50,0,33.3333333333333,0,0,16.6666666666667,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",81,81,6,0,0,0,0,16.6666666666667,33.3333333333333,33.3333333333333,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,16.6666666666667,33.3333333333333,33.3333333333333,16.6666666666667,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",83,83,8,0,0,12.5,0,25,12.5,25,25,0,0,0,0,0,0,0,0,0,0,12.5,0,25,12.5,25,25,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",85,85,2,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",87,87,6,0,0,0,0,0,33.3333333333333,16.6666666666667,33.3333333333333,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,16.6666666666667,33.3333333333333,16.6666666666667,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",89,89,3,0,0,0,0,0,33.3333333333333,0,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,0,66.6666666666667,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",91,91,3,0,0,0,0,0,66.6666666666667,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6666666666667,0,33.3333333333333,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",93,93,2,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",95,95,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",97,97,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",101,101,3,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
2001,"Month","Fleet",1,0,"Enter",105,105,14,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",109,109,30,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",27,27,34,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",29,29,23,0,92.8571428571429,7.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.8571428571429,7.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",31,31,22,0,76.6666666666667,23.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.6666666666667,23.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",33,33,15,0,47.0588235294118,50,2.94117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0588235294118,50,2.94117647058824,0,0,0,0,0,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",35,35,23,0,17.3913043478261,78.2608695652174,4.34782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3913043478261,78.2608695652174,4.34782608695652,0,0,0,0,0,0,0,0,0,0,0,0
